feature,shap_mean,shap_max,shap_mean_pct
rev_util,0.10090669870727008,0.18979898132271059,22.81
flag_any_past_due,0.07594866791558587,0.16713688160887058,17.17
total_past_due,0.058470185691113535,0.17604653425976258,13.22
past_due_90,0.030909370652925636,0.14037539438405874,6.99
flag_credit_maxed,0.026750645311541126,0.09295445441203652,6.05
age,0.02510105211315753,0.10661646354252219,5.67
past_due_30_59,0.018026235107493977,0.06302813949284883,4.08
past_due_60_89,0.014518372825928336,0.09629280392133292,3.28
n_credit_lines,0.012232347719688392,0.06433986533244099,2.77
debt_ratio,0.011574766884613476,0.04914533598496036,2.62
age_65+,0.011331214451647604,0.09515964350899489,2.56
debt_ratio_log,0.011239033969918308,0.04731344946795483,2.54
n_real_estate,0.0076136949782730215,0.10630874730778156,1.72
monthly_income,0.0073411961964940115,0.021406927366294203,1.66
monthly_income_log,0.006912565989515913,0.025131994572288503,1.56
income_per_dependent,0.0060959049851893364,0.025036453400724763,1.38
debt_per_credit_line,0.0054637513626756016,0.031497869150070294,1.24
flag_income_missing,0.0030721129516253416,0.01887807150456466,0.69
age_25-35,0.002770280270830473,0.02497462449358081,0.63
age_55-65,0.0022604945256960627,0.02325330331145137,0.51
n_dependents,0.0017733860538311468,0.008037864820904761,0.4
age_35-45,0.0008942073295928699,0.006930737337989294,0.2
flag_special_code,0.0005937047908358724,0.030061649730943874,0.13
age_45-55,0.0005169824886793717,0.0035235973215472687,0.12
flag_income_zero,3.266214267759179e-05,0.003588513011814174,0.01
